MD                  	REF                 
599.36              	0.0                 
600.36              	0.0                 
601.36              	0.0                 
601.98              	0.0                 
602.98              	0.0                 
603.98              	0.0                 
604.98              	0.0                 
605.98              	0.0                 
606.98              	0.0                 
607.98              	0.0                 
608.98              	0.0                 
609.6               	0.0                 
610.6               	0.0                 
611.6               	0.0                 
612.6               	0.0                 
613.6               	0.0                 
614.6               	0.0                 
615.6               	0.0                 
616.6               	0.0                 
617.22              	0.0                 
618.22              	0.0                 
619.22              	0.0                 
620.22              	0.0                 
621.22              	0.0                 
622.22              	0.0                 
623.22              	0.0                 
624.22              	0.0                 
624.84              	0.0                 
625.84              	0.0                 
626.84              	0.0                 
627.84              	0.0                 
628.84              	0.0                 
629.84              	0.0                 
630.84              	0.0                 
631.84              	0.0                 
632.46              	0.0                 
633.46              	0.0                 
634.46              	0.0                 
635.46              	0.0                 
636.46              	0.0                 
637.46              	0.0                 
638.46              	0.0                 
639.46              	0.0                 
640.08              	0.0                 
641.08              	0.0                 
642.08              	0.0                 
643.08              	0.0                 
644.08              	0.0                 
645.08              	0.0                 
646.08              	0.0                 
647.08              	0.0                 
647.7               	0.0                 
648.7               	0.0                 
649.7               	0.0                 
650.7               	0.0                 
651.7               	0.0                 
652.7               	0.0                 
653.7               	0.0                 
654.7               	0.0                 
655.32              	0.0                 
656.32              	0.0                 
657.32              	0.0                 
658.32              	0.0                 
659.32              	0.0                 
660.32              	0.0                 
661.32              	0.0                 
662.32              	0.0                 
662.94              	0.0                 
663.94              	0.0                 
664.94              	0.0                 
665.94              	0.0                 
666.94              	0.0                 
667.94              	0.0                 
668.94              	0.0                 
669.94              	0.0                 
670.5600000000001   	0.0                 
671.5600000000001   	0.0                 
672.5600000000001   	0.0                 
673.5600000000001   	0.0                 
674.5600000000001   	0.0                 
675.5600000000001   	0.0                 
676.5600000000001   	0.0                 
677.5600000000001   	0.0                 
678.1800000000001   	0.0                 
679.1800000000001   	0.0                 
680.1800000000001   	0.0                 
681.1800000000001   	0.0                 
682.1800000000001   	0.0                 
683.1800000000001   	0.0                 
684.1800000000001   	0.0                 
685.1800000000001   	0.0                 
685.8000000000001   	0.0                 
686.8000000000001   	0.0                 
687.8000000000001   	0.0                 
688.8000000000001   	0.0                 
689.8000000000001   	0.0                 
690.8000000000001   	0.0                 
691.8000000000001   	0.0                 
692.8000000000001   	0.0                 
693.4200000000001   	0.0                 
694.4200000000001   	0.0                 
695.4200000000001   	0.0                 
696.4200000000001   	0.0                 
697.4200000000001   	0.0                 
698.4200000000001   	0.0                 
699.4200000000001   	0.0                 
700.4200000000001   	0.0                 
701.0400000000001   	0.0                 
702.0400000000001   	0.0                 
703.0400000000001   	0.0                 
704.0400000000001   	0.0                 
705.0400000000001   	0.0                 
706.0400000000001   	0.0                 
707.0400000000001   	0.0                 
708.0400000000001   	0.0                 
708.6600000000001   	0.0                 
709.6600000000001   	0.0                 
710.6600000000001   	0.0                 
711.6600000000001   	0.0                 
712.6600000000001   	0.0                 
713.6600000000001   	0.0                 
714.6600000000001   	0.0                 
715.6600000000001   	0.0                 
716.2800000000001   	0.0                 
717.2800000000001   	0.0                 
718.2800000000001   	0.0                 
719.2800000000001   	0.0                 
720.2800000000001   	0.0                 
721.2800000000001   	0.0                 
722.2800000000001   	0.0                 
723.2800000000001   	0.0                 
723.9000000000001   	0.0                 
724.9000000000001   	0.0                 
725.9000000000001   	0.0                 
726.9000000000001   	0.0                 
727.9000000000001   	0.0                 
728.9000000000001   	0.0                 
729.9000000000001   	0.0                 
730.9000000000001   	0.0                 
731.52              	0.0                 
732.52              	0.0                 
733.52              	0.0                 
734.52              	0.0                 
735.52              	0.0                 
736.52              	0.0                 
737.52              	0.0                 
738.52              	0.0                 
739.14              	0.0                 
740.14              	0.0                 
741.14              	0.0                 
742.14              	0.0                 
743.14              	0.0                 
744.14              	0.0                 
745.14              	0.0                 
746.14              	0.0                 
746.76              	0.0                 
747.76              	0.0                 
748.76              	0.0                 
